hockeyRef,team,pos,stats/gp,stats/goals,stats/assists,stats/pim,stats/plusMinus,stats/ppg,stats/shg,stats/gwg,stats/how,stats/fol,stats/shots,stats/blocks,stats/hits,stats/toi,stats/take,stats/give,stats/wins,stats/losses,stats/ties,stats/ga,stats/sa,stats/so
mcdavco01,EDM,C,82,48,90,44,17,13,1,4,457,466,306,30,40,1884,32,134,,,,,,
kucheni01,TBL,RW,76,44,86,50,43,8,1,8,0,2,231,29,36,1545,21,124,,,,,,
mackina01,COL,C,80,53,74,39,57,11,0,7,681,653,350,35,64,1780,25,165,,,,,,
celebma01,SJS,F,82,45,70,44,8,8,0,5,625,660,287,53,53,1747,41,150,,,,,,
scheima01,WPG,C,82,36,67,43,0,7,0,6,594,679,175,47,32,1763,31,129,,,,,,
suzukni01,MTL,C,82,29,72,28,37,11,1,2,731,718,183,62,62,1707,29,72,,,,,,
necasma01,COL,C,78,38,62,30,47,9,0,5,9,12,206,26,85,1676,23,123,,,,,,
pastrda01,BOS,RW,77,29,71,72,4,10,0,4,2,7,261,32,86,1590,32,134,,,,,,
draisle01,EDM,C,65,35,62,26,13,16,1,3,628,475,186,15,34,1402,26,106,,,,,,
roberja01,DAL,LW,82,45,51,32,22,15,0,9,1,2,294,34,48,1660,24,107,,,,,,
bouchev01,EDM,D,82,21,74,30,25,7,0,5,0,0,221,101,29,2023,33,123,,,,,,
connoky01,WPG,LW,82,39,53,16,-2,5,2,5,0,1,274,19,36,1763,21,69,,,,,,
eicheja01,VEG,C,74,27,63,18,23,1,1,6,558,613,260,40,35,1568,28,120,,,,,,
kapriki01,MIN,LW,78,45,44,28,10,19,0,7,0,2,268,27,52,1727,22,112,,,,,,
caufico01,MTL,RW,81,51,37,14,29,11,0,12,6,12,258,21,50,1472,22,56,,,,,,
guentja01,TBL,C,81,38,50,61,13,8,2,5,209,228,220,41,39,1639,23,73,,,,,,
kellecl01,UTA,C,82,26,62,38,20,3,0,6,13,21,225,32,8,1564,26,105,,,,,,
johnswy01,DAL,C,82,45,41,32,-5,27,0,4,402,442,206,55,56,1650,23,62,,,,,,
boldyma01,MIN,LW,76,42,43,30,18,11,4,3,55,69,254,58,60,1563,34,86,,,,,,
debrial01,DET,RW,82,41,44,19,8,15,0,6,19,31,287,39,38,1517,43,87,,,,,,
panarar01,2TM,LW,78,28,56,20,-7,4,0,4,1,0,224,16,11,1625,25,105,,,,,,
stuetti02,OTT,LW,80,34,49,39,7,9,2,5,338,300,194,44,126,1621,34,92,,,,,,
thompta01,BUF,C,81,40,41,35,-6,6,0,5,390,468,272,48,85,1558,28,69,,,,,,
werenza01,CBJ,D,75,22,59,18,7,4,0,2,0,0,260,94,30,1996,35,125,,,,,,
