hockeyRef,team,pos,stats/gp,stats/goals,stats/assists,stats/pim,stats/plusMinus,stats/ppg,stats/shg,stats/gwg,stats/how,stats/fol,stats/shots,stats/blocks,stats/hits,stats/toi,stats/take,stats/give,stats/wins,stats/losses,stats/ties,stats/ga,stats/sa,stats/so
kucheni01,TBL,RW,64,40,78,44,44,7,1,7,0,2,198,26,33,1301,18,106,,,,,,
mcdavco01,EDM,C,71,38,78,34,8,11,1,3,364,401,257,27,36,1638,26,119,,,,,,
mackina01,COL,C,67,45,69,35,57,9,0,6,596,562,300,33,51,1491,21,145,,,,,,
draisle01,EDM,C,65,35,62,26,13,16,1,3,628,475,186,15,34,1402,26,106,,,,,,
celebma01,SJS,F,68,35,61,40,3,5,0,4,516,541,236,45,44,1454,36,118,,,,,,
pastrda01,BOS,RW,65,28,58,60,1,10,0,4,1,5,227,26,76,1343,27,113,,,,,,
suzukni01,MTL,C,69,24,61,24,27,10,1,2,617,609,152,54,54,1437,24,60,,,,,,
necasma01,COL,C,65,32,52,30,44,8,0,1,9,11,169,24,74,1392,17,108,,,,,,
scheima01,WPG,C,69,31,52,24,0,7,0,6,508,579,147,38,28,1484,25,101,,,,,,
roberja01,DAL,LW,69,38,44,26,22,13,0,7,0,2,243,28,42,1385,21,90,,,,,,
kapriki01,MIN,LW,69,38,42,28,8,16,0,5,0,2,241,24,47,1545,19,99,,,,,,
bouchev01,EDM,D,71,19,60,26,15,7,0,4,0,0,198,88,28,1756,32,108,,,,,,
connoky01,WPG,LW,69,31,47,16,-2,3,2,2,0,1,226,13,26,1483,19,60,,,,,,
boldyma01,MIN,LW,67,38,37,28,16,11,4,3,53,57,225,48,56,1399,31,77,,,,,,
werenza01,CBJ,D,62,20,55,14,11,3,0,2,0,0,219,78,28,1632,27,98,,,,,,
caufico01,MTL,RW,68,43,31,14,21,10,0,9,6,12,208,21,47,1234,22,47,,,,,,
eicheja01,VEG,C,62,24,50,12,9,0,1,5,481,521,222,37,32,1318,23,106,,,,,,
johnswy01,DAL,C,69,37,37,22,-1,22,0,3,343,368,179,49,41,1387,20,47,,,,,,
debrial01,DET,RW,70,35,38,12,7,12,0,6,17,29,245,33,33,1284,35,74,,,,,,
panarar01,2TM,LW,65,24,49,18,-11,4,0,3,1,0,193,12,10,1357,19,87,,,,,,
guentja01,TBL,C,68,31,41,51,10,8,2,5,153,174,181,35,28,1367,20,65,,,,,,
