ID,ABBR,RESERVE
berglja01,ANA,R
coolelo01,ANA,R
desnoca01,ANA,R
engluan01,ANA,R
ihswoja01,ANA,R
kivirjo01,ANA,R
koblati01,ANA,R
miettju01,ANA,R
murphco02,ANA,R
olivima01,ANA,R
P-haymelu01,ANA,R
shurama01,ANA,R
vanacma01,ANA,R
annunju01,ANA,
bahlke01,ANA,
buiumze01,ANA,
connoky01,ANA,
finleja01,ANA,
firkuja01,ANA,
hinosvi01,ANA,
hoferjo01,ANA,
hutsoqu01,ANA,
joshuda01,ANA,
krebspe01,ANA,
oconndr01,ANA,
reinhsa01,ANA,
rodriev01,ANA,
schnebr01,ANA,
severda01,ANA,
tippeow01,ANA,
vlasial01,ANA,
wiesboz01,ANA,
willato01,ANA,
boumesa01,BOS,R
buiumsh01,BOS,R
cheslry01,BOS,R
devinja01,BOS,R
finkai01,BOS,R
gajanad01,BOS,R
gudbrer01,BOS,R
jansslu01,BOS,R
milanso01,BOS,R
mrtkara01,BOS,R
P-mcallry01,BOS,R
primeca01,BOS,R
quickjo01,BOS,R
shepahu01,BOS,R
suzdaal01,BOS,R
thompai01,BOS,R
anderfr01,BOS,
brinkbo01,BOS,
burakan01,BOS,
byrambo01,BOS,
cattobe01,BOS,
cliftco01,BOS,
donatry01,BOS,
foxad01,BOS,
franket01,BOS,
fredetr01,BOS,
gauthcu01,BOS,
haulaer01,BOS,
lazarcu01,BOS,
malinsa01,BOS,
mayfisc01,BOS,
namesvl01,BOS,
noesest01,BOS,
pachabr01,BOS,
sandeja01,BOS,
wallsje01,BOS,
connetr01,BUF,R
dickija01,BUF,R
dipiemi01,BUF,R
dvorsda01,BUF,R
edstrda01,BUF,R
fleurma01,BUF,R
foligni01,BUF,R
koepkco01,BUF,R
laughsc01,BUF,R
nadeabr01,BUF,R
sandiax01,BUF,
shabama01,BUF,R
ungerfe01,BUF,R
boesebr01,BUF,
chiarbe01,BUF,
crosbsi01,BUF,
edvinsi01,BUF,
fantiad01,BUF,
forsbfi01,BUF,
gudasra01,BUF,
guentdy01,BUF,
hathaga01,BUF,
holmssi01,BUF,
hughelu01,BUF,R
larkidy01,BUF,
nikisal01,BUF,
oleksja01,BUF,
powerow01,BUF,
talboca01,BUF,
tkachbr01,BUF,
wolljo01,BUF,
yurovda01,BUF,
zuccama01,BUF,
bardaza01,CAR,R
bennimi01,CAR,R
brzushu01,CAR,R
delgama01,CAR,R
eyssimi01,CAR,R
fedotiv01,CAR,R
hallafi01,CAR,R
kurasph01,CAR,R
lamouma01,CAR,R
malatja01,CAR,R
mewshe01,CAR,R
perroja01,CAR,R
stolaan01,CAR,R
thompja01,CAR,R
tsyplma01,CAR,R
barkede01,CAR,
barroju01,CAR,
bjugsni01,CAR,
bussibr01,CAR,
dahlira01,CAR,
desmica01,CAR,
emberty01,CAR,
frostmo01,CAR,
granlmi01,CAR,
guentja01,CAR,
klapkad01,CAR,
kyroujo01,CAR,
larssad01,CAR,
marnemi01,CAR,
middlja01,CAR,
moserja01,CAR,
oreilry01,CAR,
pospima01,CAR,
toffoty01,CAR,
vorondi01,CAR,
henriad01,CBJ,R
kreidch01,CBJ,R
smithco02,CBJ,R
boqvije01,CBJ,
coltoro01,CBJ,
coylech01,CBJ,
forbode01,CBJ,
garlaco01,CBJ,
howdebr01,CBJ,
johnswy01,CBJ,
knighsp01,CBJ,
kulikdm01,CBJ,
martijo01,CBJ,
mrazepe01,CBJ,
myersty01,CBJ,
pageaje01,CBJ,
paulni01,CBJ,
pescebr01,CBJ,
smithja04,CBJ,
tavarjo01,CBJ,
teravte01,CBJ,
walkese01,CBJ,
zuckeja01,CBJ,
aubekni01,CGY,R
bainsar01,CGY,R
carriwi01,CGY,
ciharvo01,CGY,R
dawsni01,CGY,R
eriksli01,CGY,R
fortedr01,CGY,R
gilbede01,CGY,R
greenjo02,CGY,R
heineda01,CGY,R
hollju01,CGY,R
ivaniv01,CGY,R
karlswi01,CGY,R
levide01,CGY,R
