ID,ABBR,RESERVE
barloco01,ANA,R
berglja01,ANA,R
coolelo01,ANA,R
desnoca01,ANA,R
engluan01,ANA,R
girarsa01,ANA,R
ihswoja01,ANA,R
kivirjo01,ANA,R
koblati01,ANA,R
miettju01,ANA,R
P-haymelu01,ANA,R
shurama01,ANA,R
vanacma01,ANA,R
annunju01,ANA,
bahlke01,ANA,
buiumze01,ANA,
connoky01,ANA,
finleja01,ANA,
hinosvi01,ANA,
hoferjo01,ANA,
hutsoqu01,ANA,
krebspe01,ANA,
murphco02,ANA,
nichuva01,ANA,
oconndr01,ANA,
reinhsa01,ANA,
rodriev01,ANA,
schnebr01,ANA,
severda01,ANA,
shearco01,ANA,
tippeow01,ANA,
wiesboz01,ANA,
willato01,ANA,
boumesa01,BOS,R
buiumsh01,BOS,R
cheslry01,BOS,R
devinja01,BOS,R
finkai01,BOS,R
gajanad01,BOS,R
gudbrer01,BOS,R
jansslu01,BOS,R
milanso01,BOS,R
mrtkara01,BOS,R
P-mcallry01,BOS,R
primeca01,BOS,R
quickjo01,BOS,R
shepahu01,BOS,R
suzdaal01,BOS,R
thompai01,BOS,R
anderfr01,BOS,
brinkbo01,BOS,
burakan01,BOS,
byrambo01,BOS,
cattobe01,BOS,
cliftco01,BOS,
donatry01,BOS,
foxad01,BOS,
franket01,BOS,
fredetr01,BOS,
gauthcu01,BOS,
haulaer01,BOS,
lazarcu01,BOS,
malinsa01,BOS,
mayfisc01,BOS,
namesvl01,BOS,
noesest01,BOS,
pachabr01,BOS,
sandeja01,BOS,
wallsje01,BOS,
connetr01,BUF,R
dickija01,BUF,R
dipiemi01,BUF,R
edstrda01,BUF,R
foligni01,BUF,R
hathaga01,BUF,R
kemeljo01,BUF,R
korchke01,BUF,R
laughsc01,BUF,R
nadeabr01,BUF,R
ohgreli01,BUF,R
oleksja01,BUF,R
shabama01,BUF,R
ungerfe01,BUF,R
yurovda01,BUF,R
boesebr01,BUF,
chiarbe01,BUF,
crosbsi01,BUF,
dvorsda01,BUF,
edvinsi01,BUF,
fantiad01,BUF,
forsbfi01,BUF,
gudasra01,BUF,
guentdy01,BUF,
holmssi01,BUF,
hughelu01,BUF,
johnske01,BUF,
koepkco01,BUF,
nikisal01,BUF,
powerow01,BUF,
sandiax01,BUF,
talboca01,BUF,
tkachbr01,BUF,
wolljo01,BUF,
zuccama01,BUF,
