hockeyRef,team,pos,stats/gp,stats/goals,stats/assists,stats/pim,stats/plusMinus,stats/ppg,stats/shg,stats/gwg,stats/how,stats/fol,stats/shots,stats/blocks,stats/hits,stats/toi,stats/take,stats/give,stats/wins,stats/losses,stats/ties,stats/ga,stats/sa,stats/so
kucheni01,TBL,RW,65,40,79,44,45,7,1,7,0,2,201,26,33,1322,18,107,,,,,,
mcdavco01,EDM,C,71,38,78,34,8,11,1,3,364,401,257,27,36,1638,26,119,,,,,,
mackina01,COL,C,68,45,69,35,57,9,0,6,603,569,301,33,52,1514,22,145,,,,,,
draisle01,EDM,C,65,35,62,26,13,16,1,3,628,475,186,15,34,1402,26,106,,,,,,
celebma01,SJS,F,68,35,61,40,3,5,0,4,516,541,236,45,44,1454,36,118,,,,,,
necasma01,COL,C,66,32,54,30,45,8,0,1,9,11,171,24,75,1416,17,108,,,,,,
pastrda01,BOS,RW,65,28,58,60,1,10,0,4,1,5,226,26,76,1343,27,113,,,,,,
suzukni01,MTL,C,69,24,61,24,27,10,1,2,617,609,152,54,54,1437,24,60,,,,,,
scheima01,WPG,C,70,31,52,26,0,7,0,6,519,587,150,39,28,1508,26,102,,,,,,
roberja01,DAL,LW,70,38,44,26,21,13,0,7,0,2,244,29,42,1406,21,91,,,,,,
kapriki01,MIN,LW,69,38,42,28,8,16,0,5,0,2,241,24,47,1545,19,99,,,,,,
bouchev01,EDM,D,71,19,60,26,15,7,0,4,0,0,198,88,28,1756,32,108,,,,,,
connoky01,WPG,LW,70,31,48,16,-2,3,2,2,0,1,230,15,26,1508,19,62,,,,,,
boldyma01,MIN,LW,67,38,37,28,16,11,4,3,53,57,225,48,56,1399,31,77,,,,,,
johnswy01,DAL,C,70,38,37,22,-2,23,0,3,348,373,181,49,41,1407,20,47,,,,,,
werenza01,CBJ,D,63,20,55,14,11,3,0,2,0,0,222,78,28,1661,27,100,,,,,,
caufico01,MTL,RW,68,43,31,14,21,10,0,9,6,12,208,21,47,1234,22,47,,,,,,
eicheja01,VEG,C,63,24,50,16,9,0,1,5,483,525,224,37,34,1337,24,107,,,,,,
panarar01,2TM,LW,66,25,49,18,-11,4,0,3,1,0,197,13,11,1378,20,89,,,,,,
debrial01,DET,RW,70,35,38,12,7,12,0,6,17,29,245,33,33,1284,35,74,,,,,,
ahose01,CAR,F,70,25,47,40,9,7,1,4,528,527,169,19,60,1382,30,94,,,,,,
guentja01,TBL,C,69,31,41,51,11,8,2,5,156,179,182,36,29,1387,21,65,,,,,,
stuetti02,OTT,LW,69,32,40,35,7,8,2,5,306,267,169,40,105,1405,28,85,,,,,,
thompta01,BUF,C,71,36,36,29,-4,5,0,4,344,425,239,43,74,1361,25,63,,,,,,
makarca01,COL,D,69,20,50,24,32,4,0,4,0,0,185,109,34,1722,39,74,,,,,,
marnemi01,VEG,RW,70,19,51,20,15,4,0,1,122,177,137,43,22,1396,33,94,,,,,,
hutsola01,MTL,D,69,11,58,32,26,2,0,3,0,0,111,109,27,1632,33,80,,,,,,
rantami01,DAL,RW,54,20,49,87,2,5,0,1,32,32,126,27,38,1091,18,66,,,,,,
hughequ01,2TM,D,65,6,63,28,-2,2,0,1,0,0,168,71,6,1802,27,97,,,,,,
