hockeyRef,team,pos,stats/gp,stats/goals,stats/assists,stats/pim,stats/plusMinus,stats/ppg,stats/shg,stats/gwg,stats/how,stats/fol,stats/shots,stats/blocks,stats/hits,stats/toi,stats/take,stats/give,stats/wins,stats/losses,stats/ties,stats/ga,stats/sa,stats/so
marnemi01,VEG,RW,11,6,10,4,9,2,0,2,23,32,28,6,7,233,4,16,,,,,,
eicheja01,VEG,C,11,1,14,10,4,0,0,0,100,101,31,9,8,252,3,10,,,,,,
hughequ01,MIN,D,10,4,10,4,9,1,0,2,0,0,18,10,0,309,3,11,,,,,,
kapriki01,MIN,LW,10,4,10,2,9,0,0,1,1,2,25,9,15,240,7,11,,,,,,
gauthcu01,ANA,LW,11,4,8,4,-1,3,0,2,8,7,37,3,34,177,2,3,,,,,,
hallta02,CAR,LW,8,3,9,10,10,0,0,1,3,4,23,4,10,129,1,3,,,,,,
mackina01,COL,C,8,6,6,6,7,3,0,0,63,56,27,2,7,168,2,14,,,,,,
blakeja02,CAR,RW,8,4,7,18,7,0,0,2,0,0,18,3,7,144,4,8,,,,,,
boldyma01,MIN,LW,10,7,4,4,6,1,0,1,17,21,43,8,16,236,3,10,,,,,,
thompta01,BUF,C,10,4,7,20,0,1,0,0,40,66,32,8,17,199,1,11,,,,,,
carlsle01,ANA,C,11,4,6,0,1,0,0,2,52,83,41,4,9,201,4,8,,,,,,
draisle01,EDM,C,6,3,7,2,-2,1,0,0,75,62,13,2,3,137,6,13,,,,,,
faberbr01,MIN,D,10,4,6,10,11,0,0,0,0,0,29,19,5,295,3,13,,,,,,
hutsola01,MTL,D,11,2,8,6,2,1,0,1,0,0,22,16,7,287,3,16,,,,,,
lacomja01,ANA,D,11,1,9,4,4,0,0,0,0,0,18,15,17,292,5,12,,,,,,
terrytr01,ANA,C,11,3,7,0,1,1,0,0,0,1,23,2,5,194,2,9,,,,,,
doanjo01,BUF,RW,10,2,7,8,5,0,0,1,3,0,24,1,20,155,5,9,,,,,,
dorofpa01,VEG,LW,11,7,2,0,4,3,0,1,0,0,29,4,4,183,5,6,,,,,,
duchema01,DAL,C,6,2,7,4,-4,2,0,0,26,27,9,3,1,125,1,6,,,,,,
granlmi01,ANA,C,11,4,5,2,-1,2,0,0,72,78,16,7,24,206,1,6,,,,,,
howdebr01,VEG,C,11,7,2,4,4,0,2,1,43,28,17,2,32,181,0,4,,,,,,
killoal01,ANA,C,11,4,5,6,-7,3,0,0,2,10,25,4,14,205,2,10,,,,,,
necasma01,COL,C,8,1,8,2,7,0,0,0,0,1,22,1,13,159,1,6,,,,,,
suzukni01,MTL,C,11,3,6,2,-4,1,0,0,117,86,22,11,21,245,4,13,,,,,,
zuccama01,MIN,LW,7,2,7,2,-2,0,0,0,2,2,15,2,5,127,1,9,,,,,,
barbaiv01,VEG,C,11,3,5,6,1,0,0,1,2,4,18,6,61,196,6,16,,,,,,
guentja01,TBL,C,7,2,6,8,3,0,0,0,12,29,21,0,5,154,4,7,,,,,,
hagelbr01,TBL,LW,7,6,2,13,6,2,0,1,2,4,20,4,12,174,7,10,,,,,,
landega01,COL,LW,8,3,5,10,5,1,0,0,33,41,19,7,29,140,1,7,,,,,,
roberja01,DAL,LW,6,5,3,2,-2,2,0,1,0,0,30,2,3,139,2,3,,,,,,
stanklo01,CAR,C,8,7,1,4,8,2,0,2,43,53,31,2,14,135,1,8,,,,,,
bensoza01,BUF,LW,10,4,3,42,4,1,0,1,0,7,17,4,15,157,2,6,,,,,,
bouchev01,EDM,D,6,1,6,0,-7,1,0,0,0,0,8,7,3,149,5,13,,,,,,
caufico01,MTL,RW,11,3,4,0,-6,3,0,0,0,0,24,1,19,204,2,6,,,,,,
dahlira01,BUF,D,10,2,5,16,2,2,0,0,0,0,35,13,14,230,2,13,,,,,,
hartmry01,MIN,RW,10,3,4,18,-1,1,0,0,89,89,32,11,17,194,3,9,,,,,,
kreidch01,ANA,LW,11,2,5,0,0,0,0,0,0,1,12,3,29,166,1,5,,,,,,
newhoal01,MTL,C,11,6,1,6,4,0,0,1,25,41,24,7,21,179,2,6,,,,,,
pastrda01,BOS,RW,6,3,4,8,-7,1,0,1,0,0,22,5,12,125,2,7,,,,,,
rantami01,DAL,RW,6,1,6,12,-8,1,0,0,9,5,14,7,12,136,1,12,,,,,,
