hockeyRef,team,pos,stats/gp,stats/goals,stats/assists,stats/pim,stats/plusMinus,stats/ppg,stats/shg,stats/gwg,stats/how,stats/fol,stats/shots,stats/blocks,stats/hits,stats/toi,stats/take,stats/give,stats/wins,stats/losses,stats/ties,stats/ga,stats/sa,stats/so
marnemi01,VEG,RW,16,7,14,6,12,2,0,2,23,32,39,9,11,340,10,23,,,,,,
eicheja01,VEG,C,16,2,16,12,7,0,0,0,141,146,42,16,13,355,4,18,,,,,,
hallta02,CAR,LW,13,5,11,12,11,0,0,1,3,7,37,8,17,212,2,10,,,,,,
hutsola01,MTL,D,19,3,13,12,-3,2,0,1,0,0,30,34,10,483,9,28,,,,,,
suzukni01,MTL,C,19,4,12,6,-8,2,0,0,176,163,40,19,35,422,7,22,,,,,,
blakeja02,CAR,RW,13,5,10,18,8,0,0,2,0,0,31,10,13,237,8,11,,,,,,
hughequ01,MIN,D,11,4,11,4,10,1,0,2,0,0,20,12,1,340,3,11,,,,,,
kapriki01,MIN,LW,11,4,11,2,10,0,0,1,1,2,25,11,16,263,7,14,,,,,,
mackina01,COL,C,13,7,8,6,5,3,0,0,100,87,47,5,11,275,4,22,,,,,,
thompta01,BUF,C,13,5,10,22,0,1,0,0,44,82,46,8,20,259,1,15,,,,,,
dahlira01,BUF,D,13,4,10,20,4,2,0,0,0,0,46,14,15,311,2,16,,,,,,
dorofpa01,VEG,LW,16,10,4,0,5,4,0,1,0,0,42,7,4,268,7,7,,,,,,
boldyma01,MIN,LW,11,7,6,4,5,1,0,1,21,21,48,8,19,259,3,11,,,,,,
caufico01,MTL,RW,19,6,7,0,-10,4,0,0,0,0,43,3,27,349,3,12,,,,,,
necasma01,COL,C,13,1,12,6,6,0,0,0,0,1,32,2,21,268,3,8,,,,,,
barbaiv01,VEG,C,16,5,7,8,4,0,0,2,5,5,24,9,83,277,8,19,,,,,,
gauthcu01,ANA,LW,12,4,8,4,-3,3,0,2,10,7,39,3,36,195,2,7,,,,,,
howdebr01,VEG,C,16,10,2,4,9,0,3,3,48,31,28,4,46,268,0,10,,,,,,
slafkju01,MTL,LW,19,6,6,9,-9,4,0,1,1,7,48,17,26,378,6,14,,,,,,
stanklo01,CAR,C,13,9,3,6,8,2,0,3,67,78,46,3,23,219,4,15,,,,,,
carlsle01,ANA,C,12,4,7,0,1,0,0,2,58,87,41,4,9,217,4,8,,,,,,
landega01,COL,LW,13,6,5,14,4,2,0,0,54,61,37,9,40,251,3,9,,,,,,
terrytr01,ANA,C,12,3,8,0,1,1,0,0,0,1,25,3,5,215,2,12,,,,,,
theodsh01,VEG,D,16,4,7,6,8,1,0,1,0,0,31,46,3,407,6,28,,,,,,
toewsde01,COL,D,13,2,9,2,6,0,0,0,0,0,18,17,3,333,12,12,,,,,,
danauph01,MTL,C,19,2,8,8,3,0,0,0,160,114,18,19,33,304,5,16,,,,,,
doanjo01,BUF,RW,13,3,7,8,6,0,0,1,5,1,32,2,25,212,6,11,,,,,,
draisle01,EDM,C,6,3,7,2,-2,1,0,0,75,62,13,2,3,137,6,13,,,,,,
evansja02,MTL,C,19,2,8,22,11,0,1,1,135,107,21,17,37,321,6,9,,,,,,
faberbr01,MIN,D,11,4,6,10,11,0,0,0,0,0,29,21,5,327,4,13,,,,,,
granlmi01,ANA,C,12,5,5,4,-3,3,0,0,78,91,20,7,26,230,1,6,,,,,,
lacomja01,ANA,D,12,1,9,4,0,0,0,0,0,0,21,19,18,322,6,12,,,,,,
newhoal01,MTL,C,19,7,3,16,3,0,0,2,38,60,33,11,31,327,4,7,,,,,,
stonema01,VEG,RW,11,5,5,6,-1,4,0,0,0,1,23,4,19,206,3,15,,,,,,
bensoza01,BUF,LW,13,5,4,64,6,1,0,1,0,7,26,7,16,222,3,8,,,,,,
demidiv01,MTL,RW,19,3,6,6,-1,2,0,0,0,0,35,9,20,323,5,19,,,,,,
duchema01,DAL,C,6,2,7,4,-4,2,0,0,26,27,9,3,1,125,1,6,,,,,,
ehlerni01,CAR,LW,12,4,5,2,3,1,0,1,1,3,25,7,12,228,4,16,,,,,,
hertlto01,VEG,C,16,3,6,2,-2,0,0,1,77,49,27,5,33,207,4,8,,,,,,
kadrina01,COL,C,13,3,6,4,1,1,0,1,20,26,35,2,16,217,3,11,,,,,,
killoal01,ANA,C,12,4,5,8,-10,3,0,0,2,12,25,4,14,226,2,10,,,,,,
zuccama01,MIN,LW,8,2,7,2,-3,0,0,0,2,2,15,4,6,146,2,10,,,,,,
guentja01,TBL,C,7,2,6,8,3,0,0,0,12,29,21,0,5,154,4,7,,,,,,
guhleka01,MTL,D,19,0,8,46,0,0,0,0,0,0,12,40,51,389,7,12,,,,,,
hagelbr01,TBL,LW,7,6,2,13,6,2,0,1,2,4,20,4,12,174,7,10,,,,,,
jarvise01,CAR,C,13,3,5,2,3,0,0,0,0,12,33,10,21,262,4,11,,,,,,
milleka01,CAR,D,13,0,8,4,14,0,0,0,0,0,15,18,27,311,11,12,,,,,,
roberja01,DAL,LW,6,5,3,2,-2,2,0,1,0,0,30,2,3,139,2,3,,,,,,
texieal01,MTL,C,19,4,4,4,6,0,0,2,4,6,19,4,23,244,2,13,,,,,,
ahose01,CAR,F,13,4,3,10,3,1,0,2,80,92,26,6,18,273,5,11,,,,,,
anderjo05,MTL,RW,19,5,2,30,6,0,0,0,2,2,30,12,46,292,2,15,,,,,,
bolduza01,MTL,C,19,3,4,22,-3,1,0,1,0,1,18,8,47,216,6,9,,,,,,
bouchev01,EDM,D,6,1,6,0,-7,1,0,0,0,0,8,7,3,149,5,13,,,,,,
byrambo01,BUF,D,13,4,3,12,0,1,0,0,0,0,29,12,10,291,3,16,,,,,,
carrial01,MTL,D,19,1,6,26,2,0,0,0,0,0,7,52,21,418,3,15,,,,,,
hartmry01,MIN,RW,11,3,4,18,-2,1,0,0,94,99,35,11,18,213,4,10,,,,,,
kreidch01,ANA,LW,12,2,5,0,0,0,0,0,0,2,13,3,30,182,1,5,,,,,,
pastrda01,BOS,RW,6,3,4,8,-7,1,0,1,0,0,22,5,12,125,2,7,,,,,,
quinnja01,BUF,RW,13,2,5,0,-2,2,0,1,0,1,25,2,15,213,3,9,,,,,,
rantami01,DAL,RW,6,1,6,12,-8,1,0,0,9,5,14,7,12,136,1,12,,,,,,
samuema02,BUF,D,13,3,4,2,4,0,0,1,0,0,19,25,44,290,5,10,,,,,,
svechan01,CAR,RW,13,3,4,24,0,1,0,1,0,1,43,6,50,234,7,17,,,,,,
tuchal01,BUF,RW,13,4,3,8,0,0,0,2,15,11,46,17,37,267,8,17,,,,,,
carlsjo01,ANA,D,12,0,6,4,-5,0,0,0,0,0,25,17,14,288,9,27,,,,,,
gostish01,CAR,D,13,2,4,14,4,1,0,0,0,0,20,8,10,245,4,13,,,,,,
hanifno01,VEG,D,16,0,6,2,3,0,0,0,0,0,23,30,15,381,13,25,,,,,,
heiskmi01,DAL,D,6,2,4,2,-9,2,0,0,0,0,21,7,1,183,1,5,,,,,,
johnswy01,DAL,C,6,4,2,2,-6,3,0,1,40,42,20,2,7,143,1,5,,,,,,
kapanka01,EDM,RW,6,4,2,0,7,0,0,1,0,0,15,2,17,107,1,2,,,,,,
krebspe01,BUF,C,13,2,4,22,3,0,0,0,34,35,10,8,27,189,2,11,,,,,,
kucheni01,TBL,RW,7,1,5,10,2,0,0,0,0,0,31,2,5,149,3,10,,,,,,
lehkoar01,COL,LW,11,3,3,2,8,1,1,1,0,2,18,9,26,189,2,10,,,,,,
mcdavco01,EDM,C,6,1,5,2,-8,1,0,0,33,34,20,2,6,141,1,12,,,,,,
mctavma01,ANA,C,10,1,5,2,1,0,0,0,25,24,25,5,23,124,3,5,,,,,,
podkova01,EDM,RW,6,3,3,5,5,0,0,0,3,4,12,3,32,97,0,6,,,,,,
powerow01,BUF,D,13,0,6,0,5,0,0,0,0,0,8,11,9,279,2,11,,,,,,
robiner01,CAR,LW,13,3,3,14,5,0,0,0,0,3,20,3,30,136,1,7,,,,,,
royni01,COL,C,13,3,3,4,-1,0,0,2,34,44,16,8,24,156,4,10,,,,,,
sennebe01,ANA,F,12,5,1,4,-7,2,0,0,1,1,34,3,15,203,2,11,,,,,,
sissoco01,VEG,C,16,2,4,4,4,0,0,0,40,17,14,17,44,219,3,8,,,,,,
zegratr01,PHI,C,10,2,4,26,1,1,0,0,33,42,12,3,22,180,1,10,,,,,,
anderra01,VEG,D,16,0,5,14,4,0,0,0,0,0,22,26,5,377,1,11,,,,,,
chatfja01,CAR,D,13,1,4,10,2,0,1,1,0,0,23,19,8,288,4,15,,,,,,
coltoro01,COL,C,11,2,3,16,-2,0,0,0,3,3,20,4,38,106,0,6,,,,,,
crosbsi01,PIT,C,6,1,4,6,-1,1,0,0,62,70,19,5,9,125,3,5,,,,,,
crousla01,UTA,LW,6,3,2,2,-1,0,0,1,1,3,11,4,38,129,3,6,,,,,,
dachki01,MTL,C,19,4,1,20,-1,0,0,0,26,24,19,7,36,198,3,8,,,,,,
druryja01,COL,C,13,3,2,4,0,0,1,0,76,48,14,4,13,137,5,7,,,,,,
eriksjo02,MIN,C,6,3,2,6,7,2,0,0,84,65,24,3,15,142,2,5,,,,,,
guentdy01,UTA,RW,6,3,2,2,0,1,0,0,1,1,27,2,16,124,4,11,,,,,,
karlswi01,VEG,C,10,1,4,4,5,0,0,0,81,70,16,9,3,171,1,7,,,,,,
kellecl01,UTA,C,6,1,4,0,1,0,0,0,0,1,21,5,6,128,5,9,,,,,,
konectr01,PHI,RW,10,1,4,26,-2,0,0,0,2,0,13,5,41,182,3,8,,,,,,
kulakbr01,COL,D,13,1,4,6,1,0,0,1,0,0,12,25,5,268,6,16,,,,,,
makarca01,COL,D,11,4,1,4,5,0,0,1,0,0,29,25,0,279,3,19,,,,,,
martopo01,PHI,RW,10,2,3,6,3,0,0,2,1,2,23,4,33,168,2,15,,,,,,
mcleory01,BUF,C,13,1,4,2,-7,1,0,0,104,101,17,5,2,221,5,18,,,,,,
nugenry01,EDM,C,6,2,3,2,-1,1,0,0,14,13,7,5,6,106,2,5,,,,,,
poehlry01,ANA,C,11,4,1,4,-1,0,1,1,50,70,17,7,12,140,5,2,,,,,,
ristora01,PHI,D,10,1,4,20,1,0,0,0,0,0,18,9,20,250,3,14,,,,,,
sergami01,UTA,D,6,0,5,4,0,0,0,0,0,0,7,15,5,164,1,12,,,,,,
smithco02,VEG,F,16,3,2,22,4,0,0,1,0,2,10,8,66,186,2,8,,,,,,
staaljo01,CAR,C,13,2,3,11,4,1,0,0,152,140,18,6,64,231,2,9,,,,,,
sturmni01,MIN,C,8,1,4,0,0,0,0,0,19,21,10,4,17,83,0,2,,,,,,
tarasvl01,MIN,RW,11,2,3,2,2,0,0,0,0,2,18,7,14,156,2,12,,,,,,
weegama01,UTA,D,6,2,3,2,2,0,0,0,0,0,9,8,26,133,3,11,,,,,,
yamamka01,UTA,RW,6,1,4,2,2,0,0,0,1,6,4,0,22,85,0,4,,,,,,
bathedr01,OTT,C,4,3,1,4,-3,1,0,0,0,1,9,1,16,85,0,6,,,,,,
burnsbr01,COL,D,13,0,4,6,9,0,0,0,0,0,23,13,19,236,4,10,,,,,,
catesno01,PHI,LW,8,1,3,0,-2,1,0,0,53,60,11,7,19,130,4,1,,,,,,
coutuse01,PHI,C,10,1,3,8,1,0,0,0,75,37,22,4,34,174,6,6,,,,,,
dowdni01,VEG,C,16,3,1,6,-2,0,0,1,102,95,20,14,37,214,6,9,,,,,,
drysdja01,PHI,D,10,2,2,10,-4,1,0,0,0,0,16,16,3,221,3,12,,,,,,
