hockeydb,name
5928, Antti Aalto
81002, Justin Abdelkader
139960, Pontus Aberg
29408, Ramzi Abid
5935, Keith Acton
96396, Luke Adam
22031, Bryan Adams
25067, Craig Adams
6237, Greg Adams
6216, Kevyn Adams
29051, David Aebischer
36989, Dmitry Afanasenkov
33997, Maxim Afinogenov
127796, Kenny Agostino
94553, Jonas Ahnelov
5949, Peter Ahola
45127, Ari Ahonen
126409, Sami Aittokallio
111604, Jason Akeson
19175, Mika Alatalo
5955, Tommy Albelin
56749, Andrew Alberts
72395, Juha Alen
67449, Viktor Alexandrov
89255, Yuri Alexandrov
42332, Nikita Alexeev
18514, Daniel Alfredsson
89808, Akim Aliu
35505, Bobby Allen
25877, Bryan Allen
123262, Conor Allen
106592, Jake Allen
15567, Jamie Allison
50, Jason Allison
142119, Daniel Altshuller
74658, Karl Alzner
62, Tony Amonte
111711, Frederik Andersen
42354, Craig Anderson
67, Glenn Anderson
98448, Joakim Andersson
45120, Jonas Andersson
76, Mikael Andersson
77, Niklas Andersson
78, Peter Andersson
106790, Andy Andreoff
80, Dave Andreychuk
143315, Sven Andrighetto
83, Greg Andrusak
95342, Artem Anisimov
64521, Sergei Anshakov
92, Shawn Antoski
36977, Nikolai Antropov
115481, Darren Archibald
100, Dave Archibald
97683, Mark Arcobello
36988, Denis Arkhipov
130454, Joel Armia
46427, Colby Armstrong
105, Derek Armstrong
42531, Tyler Arnason
89729, Jamie Arniel
112, Jason Arnott
56840, Evgeny Artyukhin
28404, Magnus Arvedson
139983, Viktor Arvidsson
19303, Arron Asham
100351, Carter Ashton
123, Mark Astley
125, Blair Atcheynum
130614, Andreas Athanasiou
113815, Cam Atkinson
160327, Nicolas Aube-Kubel
28496, Jean-Sebastien Aubin
18614, Serge Aubin
133, Adrian Aucoin
134, Donald Audette
106595, Jonathan Marchessault
31798, Alex Auld
89905, Keith Aulie
31167, Jared Aulin
25942, Sean Avery
120934, Alexander Avtsin
15995, P.J. Axelsson
64494, Anton Babchuk
159, Dave Babych
161, Jergus Baca
56777, Jason Bacashihua
95392, Richard Bachman
67657, David Backes
76080, Johan Backlund
104255, Mikael Backlund
36980, Christian Backman
81390, Nicklas Backstrom
42585, Niklas Backstrom
89753, Josh Bailey
149191, Justin Bailey
172, Scott Bailey
178, Jamie Baker
56996, Jaroslav Balastik
50611, Jozef Balej
61770, Keith Ballard
33998, Maxim Balmochnykh
21474, Frank Banham
196, Drew Bannister
142215, Nick Baptiste
160332, Ivan Barbashev
130858, Riley Barber
96312, Mark Barberio
31864, Krys Barch
63008, Michal Barinka
62512, Cam Barker
145634, Aleksander Barkov
206, Matthew Barnaby
31778, Ryan Barnes
210, Stu Barnes
23719, Scott Barney
214, Murray Baron
216, Tom Barrasso
217, Doug Barrault
221, Len Barrie
99406, Tyson Barrie
29431, Lubos Bartecko
99056, Matt Bartkowski
74659, Victor Bartley
45064, Milan Bartovic
120612, Sven Baertschi
80396, Oskars Bartulis
72693, Konstantin Barulin
76771, Cody Bass
234, Bob Bassen
22501, Shawn Bates
21984, Bates Battaglia
246, Ken Baumgartner
11359, Nolan Baumgartner
248, Sergei Bautin
49717, Ryan Bayda
90922, Kyle Beach
93172, Jay Beagle
29527, Francois Beauchemin
115887, Nathan Beaulieu
274, Don Beaupre
