ID,ABBR,RESERVE,NHL
annunju01,ANA,R,NSH
buiumze01,ANA,R,VAN
connoky01,ANA,R,WPG
coolelo01,ANA,R,UTA
desnoca01,ANA,R,UTA
engluan01,ANA,R,NSH
finleja01,ANA,R,UTA
firkuja01,ANA,R,SEA
greeraj01,ANA,R,FLA
hoferjo01,ANA,R,STL
hutsoqu01,ANA,R,EDM
joshuda01,ANA,R,TOR
khusnma01,ANA,R,BOS
koblati01,ANA,R,TOR
liljeti01,ANA,R,WSH
miettju01,ANA,R,SEA
oconndr01,ANA,R,VAN
olivima01,ANA,R,CBJ
P-haymelu01,ANA,R,TOR
reinhsa01,ANA,R,FLA
riellmo01,ANA,R,TOR
rodriev01,ANA,R,FLA
schnebr01,ANA,R,NYR
severda01,ANA,R,CBJ
shurama01,ANA,R,FLA
toewsjo01,ANA,R,WPG
vanacma01,ANA,R,CHI
vlasial01,ANA,R,CHI
wiesboz01,ANA,R,NSH
willato01,ANA,R,VAN
berglja01,ANA,,PHI
ihswoja01,ANA,,VEG
tippeow01,ANA,,PHI
boumesa01,BOS,R,WPG
buiumsh01,BOS,R,DET
burakan01,BOS,R,CHI
cattobe01,BOS,R,SEA
cheslry01,BOS,R,WSH
cliftco01,BOS,R,PIT
devinja01,BOS,R,FLA
donatry01,BOS,R,CHI
finkai01,BOS,R,NSH
foxad01,BOS,R,NYR
franket01,BOS,R,WSH
fredetr01,BOS,R,EDM
gajanad01,BOS,R,CHI
haulaer01,BOS,R,NSH
jansslu01,BOS,R,FLA
lazarcu01,BOS,R,EDM
mayfisc01,BOS,R,NYI
milanso01,BOS,R,WSH
namesvl01,BOS,R,WPG
noesest01,BOS,R,NJD
P-mcallry01,BOS,R,---
pachabr01,BOS,R,CGY
quickjo01,BOS,R,NYR
sandeja01,BOS,R,OTT
shepahu01,BOS,R,OTT
suzdaal01,BOS,R,WSH
thompai01,BOS,R,NYR
anderfr01,BOS,,CAR
brinkbo01,BOS,,MIN
byrambo01,BOS,,BUF
gauthcu01,BOS,,ANA
malinsa01,BOS,,COL
mrtkara01,BOS,,BUF
wallsje01,BOS,,MIN
boesebr01,BUF,R,VAN
chiarbe01,BUF,R,DET
crosbsi01,BUF,R,PIT
dipiemi01,BUF,R,BOS
dvorsda01,BUF,R,STL
edvinsi01,BUF,R,DET
fantiad01,BUF,R,CBJ
fialake01,BUF,R,LAK
forsbfi01,BUF,R,NSH
gilbede01,BUF,R,OTT
guentdy01,BUF,R,UTA
holmssi01,BUF,R,NYI
hughelu01,BUF,R,NJD
koepkco01,BUF,R,WPG
larkidy01,BUF,R,DET
oleksja01,BUF,R,SEA
sandiax01,BUF,R,DET
shabama01,BUF,R,NYI
shearco01,BUF,R,NYR
talboca01,BUF,R,DET
tkachbr01,BUF,R,OTT
trochvi01,BUF,R,NYR
wolljo01,BUF,R,TOR
connetr01,BUF,,VEG
edstrda01,BUF,,VEG
gudasra01,BUF,,ANA
hathaga01,BUF,,PHI
nadeabr01,BUF,,CAR
nikisal01,BUF,,CAR
powerow01,BUF,,BUF
ungerfe01,BUF,,CAR
yurovda01,BUF,,MIN
barroju01,CAR,R,NSH
bennimi01,CAR,R,FLA
bjugsni01,CAR,R,NJD
brzushu01,CAR,R,CGY
desmica01,CAR,R,DAL
douglcu01,CAR,R,VAN
emberty01,CAR,R,EDM
eyssimi01,CAR,R,BOS
frostmo01,CAR,R,CGY
hallafi01,CAR,R,PIT
klapkad01,CAR,R,CGY
kurasph01,CAR,R,SJS
kyroujo01,CAR,R,STL
lamouma01,CAR,R,UTA
larssad01,CAR,R,SEA
lundca01,CAR,R,SJS
mewshe01,CAR,R,CGY
oreilry01,CAR,R,NSH
ovechal01,CAR,R,WSH
pospima01,CAR,R,CGY
stolaan01,CAR,R,TOR
thompja01,CAR,R,VAN
tsyplma01,CAR,R,NJD
vorondi01,CAR,R,CBJ
bardaza01,CAR,,COL
barkede01,CAR,,PHI
bussibr01,CAR,,CAR
dahlira01,CAR,,BUF
fedotiv01,CAR,,PHI
granlmi01,CAR,,ANA
guentja01,CAR,,TBL
marnemi01,CAR,,VEG
middlja01,CAR,,MIN
moserja01,CAR,,TBL
perroja01,CAR,,CAR
boqvije01,CBJ,R,FLA
coylech01,CBJ,R,CBJ
forbode01,CBJ,R,VAN
garlaco01,CBJ,R,CBJ
henriad01,CBJ,R,EDM
johnswy01,CBJ,R,DAL
knighsp01,CBJ,R,CHI
kulikdm01,CBJ,R,FLA
myersty01,CBJ,R,DAL
pageaje01,CBJ,R,NYI
pescebr01,CBJ,R,NJD
smithja04,CBJ,R,CBJ
tavarjo01,CBJ,R,TOR
teravte01,CBJ,R,CHI
coltoro01,CBJ,,COL
howdebr01,CBJ,,VEG
kreidch01,CBJ,,ANA
martijo01,CBJ,,CAR
mrazepe01,CBJ,,ANA
paulni01,CBJ,,TBL
smithco02,CBJ,,VEG
walkese01,CBJ,,CAR
zuckeja01,CBJ,,BUF
acciano01,CGY,R,PIT
bennesa01,CGY,R,FLA
ciharvo01,CGY,R,LAK
dickija01,CGY,R,EDM
eriksli01,CGY,R,FLA
fortedr01,CGY,R,NYR
gavrivl01,CGY,R,NYR
heineda01,CGY,R,CBJ
laughsc01,CGY,R,LAK
lindees01,CGY,R,DAL
lindgch01,CGY,R,WSH
lindhel01,CGY,R,BOS
mikkoni01,CGY,R,FLA
paraste01,CGY,R,WSH
samosma01,CGY,R,FLA
thomplo01,CGY,R,WSH
andraem01,CGY,,PHI
aubekni01,CGY,,MIN
carriwi01,CGY,,CAR
cernaer01,CGY,,TBL
cirelan01,CGY,,TBL
foligni01,CGY,,MIN
gourdya01,CGY,,TBL
greenjo02,CGY,,BUF
hussovi01,CGY,,ANA
ivaniv01,CGY,,COL
karlswi01,CGY,,VEG
kellypa01,CGY,,COL
kucheni01,CGY,,TBL
levide01,CGY,,BUF
mansojo01,CGY,,COL
milleka01,CGY,,CAR
nelsobr01,CGY,,COL
reillmi01,CGY,,CAR
texieal01,CGY,,MTL
zuccama01,CGY,,MIN
backos01,CHI,R,DAL
borgewi01,CHI,R,NYR
chinaye01,CHI,R,PIT
coronma01,CHI,R,CGY
farabjo01,CHI,R,CGY
gadjojo01,CHI,R,FLA
hamildo01,CHI,R,NJD
hildede01,CHI,R,TOR
kantsro01,CHI,R,CHI
kiiskje01,CHI,R,NSH
klevety01,CHI,R,OTT
lardini01,CHI,R,CHI
levshar01,CHI,R,CHI
lheurza01,CHI,R,NSH
marchki01,CHI,R,CBJ
P-leppaat01,CHI,R,EDM
poitrma01,CHI,R,BOS
reimeja01,CHI,R,OTT
sillico01,CHI,R,CBJ
toffoty01,CHI,R,SJS
ufkory01,CHI,R,NSH
vanecvi01,CHI,R,UTA
vejmeka01,CHI,R,UTA
vilmasa01,CHI,R,FLA
yagerbr01,CHI,R,WPG
zamulye01,CHI,R,CBJ
benakad01,CHI,,MIN
dorofpa01,CHI,,VEG
kochepy01,CHI,,CAR
marjavi01,CHI,,BUF
ruohohe01,CHI,,PHI
broztr01,COL,R,PIT
cousini01,COL,R,OTT
drouijo01,COL,R,STL
duchema01,COL,R,DAL
dudaar01,COL,R,UTA
ekholma01,COL,R,EDM
elickch01,COL,R,CBJ
goligal01,COL,R,PIT
howeta01,COL,R,PIT
kampfda01,COL,R,WSH
kapanka01,COL,R,EDM
kindebe01,COL,R,PIT
lafreto01,COL,R,EDM
macewza01,COL,R,NJD
mangian01,COL,R,CHI
olofsvi01,COL,R,CGY
pintosh01,COL,R,OTT
regulal01,COL,R,EDM
shestig01,COL,R,NYR
soderar01,COL,R,CHI
sundqos01,COL,R,STL
yamamka01,COL,R,UTA
zadorni01,COL,R,BOS
bogosza01,COL,,MIN
murtaja01,COL,,PHI
newhoal01,COL,,MTL
nylanal01,COL,,BUF
oconnlo01,COL,,COL
pearsta01,COL,,BUF
poehlry01,COL,,ANA
stonema01,COL,,VEG
toewsde01,COL,,COL
troubja01,COL,,ANA
akeybe01,DAL,R,EDM
berezma01,DAL,R,EDM
brandmi01,DAL,R,DET
draisle01,DAL,R,EDM
edstrad01,DAL,R,NYR
gatcoma01,DAL,R,NYI
hanlejo01,DAL,R,CGY
hensllo01,DAL,R,OTT
hymanza01,DAL,R,EDM
jonsssa01,DAL,R,EDM
kaisewy01,DAL,R,CHI
letoude01,DAL,R,BOS
lorenst01,DAL,R,TOR
mancivi01,DAL,R,VAN
nugenry01,DAL,R,EDM
oreilsa01,DAL,R,EDM
parayco01,DAL,R,STL
rosloja01,DAL,R,EDM
schaere01,DAL,R,NSH
skinnje01,DAL,R,SJS
skinnst01,DAL,R,PIT
slaggla01,DAL,R,CHI
spencjo01,DAL,R,OTT
toropal01,DAL,R,STL
wilsbad01,DAL,R,NSH
crozima01,DAL,,TBL
johanjo03,DAL,,TBL
jonesbe01,DAL,,MIN
kulicji01,DAL,,BUF
augustr01,DET,R,DET
caseyse01,DET,R,NJD
celebma01,DET,R,SJS
coppan01,DET,R,DET
daccojo01,DET,R,SEA
ernead01,DET,R,DAL
girarsa01,DET,R,PIT
martibr02,DET,R,NSH
mukhash01,DET,R,SJS
ostapza01,DET,R,SJS
podkova01,DET,R,EDM
protail01,DET,R,WSH
savoima01,DET,R,EDM
seidemo01,DET,R,DET
amicoca01,DET,R,PHI
artamni01,DET,,CAR
bjorkol01,DET,,TBL
doanjo01,DET,,BUF
faberbr01,DET,,MIN
hagelbr01,DET,,TBL
hanifno01,DET,,VEG
hillad01,DET,,VEG
jankoma01,DET,,CAR
kessemi01,DET,,BUF
korczka01,DET,,VEG
mackina01,DET,,COL
mooreia01,DET,,ANA
nichuva01,DET,,COL
perryco01,DET,,TBL
robiner01,DET,,CAR
royni01,DET,,COL
sissoco01,DET,R,VEG
smithre01,DET,,VEG
solbest01,DET,,ANA
terrytr01,DET,,ANA
theodsh01,DET,,VEG
bearca01,EDM,R,DET
bertutr01,EDM,R,DAL
bichsli01,EDM,R,DAL
boisvsa01,EDM,R,CHI
brissbr01,EDM,R,NYR
broditj01,EDM,R,CGY
chishde01,EDM,R,WSH
engvapi01,EDM,R,NYI
glassco01,EDM,R,NJD
hamontr01,EDM,R,DET
hrabami01,EDM,R,UTA
iginlti01,EDM,R,UTA
maattol01,EDM,R,CGY
marksja02,EDM,R,NJD
mikheil01,EDM,R,CHI
molenta01,EDM,R,NSH
mugglle01,EDM,R,WSH
pettema01,EDM,R,VAN
ritchca01,EDM,R,NYI
schwaja01,EDM,R,SEA
sorokil01,EDM,R,NYI
stromdy01,EDM,R,WSH
stromry01,EDM,R,CGY
wrighsh01,EDM,R,SEA
yegormi01,EDM,R,NJD
bjarnca01,EDM,,PHI
carlsjo01,EDM,,ANA
carlsle01,EDM,,ANA
catafma01,EDM,,VEG
grundca01,EDM,,PHI
helledr01,EDM,,ANA
holtzal01,EDM,,VEG
kapriki01,EDM,,MIN
mathemi01,EDM,,MTL
mctavma01,EDM,,ANA
astonza01,FLA,R,CBJ
barromo01,FLA,R,WPG
demeldy01,FLA,R,WPG
dillobr01,FLA,R,NJD
ellerla01,FLA,R,OTT
gritsar01,FLA,R,NJD
harleth01,FLA,R,DAL
harrijo01,FLA,R,BOS
heiskmi01,FLA,R,DAL
helleco01,FLA,R,WPG
